# Hypersolve Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 82 | 54.936 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[136]` |
| 83 | 54.926 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[6]` |
| 84 | 54.836 us | `cargo-fuzz` | `sketch_projected_length_ratio` | `seed[17]` |
| 85 | 54.826 us | `cargo-fuzz` | `sketch_projected_length_ratio` | `seed[71]` |
| 86 | 54.816 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[20]` |
| 87 | 54.816 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[28]` |
| 88 | 54.806 us | `cargo-fuzz` | `sketch_projected_equal_point_line_distances` | `seed[19]` |
| 89 | 54.796 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[14]` |
| 90 | 54.796 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[22]` |
| 91 | 54.787 us | `cargo-fuzz` | `sketch_projected_point_concentric` | `seed[18]` |
| 92 | 54.786 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[17]` |
| 93 | 54.776 us | `cargo-fuzz` | `sketch_projected_length_ratio` | `seed[7]` |
| 94 | 54.766 us | `cargo-fuzz` | `sketch_projected_line_length_range` | `seed[5]` |
| 95 | 54.746 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[6]` |
| 96 | 54.726 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[23]` |
| 97 | 54.706 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[18]` |
| 98 | 54.706 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_g2` | `seed[7]` |
| 99 | 54.687 us | `cargo-fuzz` | `sketch_projected_length_difference` | `seed[6]` |
| 100 | 54.666 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[21]` |
| 101 | 54.666 us | `cargo-fuzz` | `sketch_projected_point_line_radius_equality` | `seed[7]` |
| 102 | 54.656 us | `cargo-fuzz` | `sketch_projected_line_arc_sweep_length` | `seed[6]` |
| 103 | 54.646 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_c2` | `seed[7]` |
| 104 | 54.626 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[6]` |
| 105 | 54.596 us | `cargo-fuzz` | `sketch_projected_line_circle_tangent` | `seed[21]` |
| 106 | 54.576 us | `cargo-fuzz` | `sketch_projected_point_on_arc` | `seed[22]` |
| 107 | 54.566 us | `cargo-fuzz` | `sketch_projected_equal_point_line_distances` | `seed[22]` |
| 108 | 54.566 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[8]` |
| 109 | 54.556 us | `cargo-fuzz` | `sketch_projected_length_difference` | `seed[7]` |
| 110 | 54.546 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[28]` |
| 111 | 54.546 us | `cargo-fuzz` | `sketch_projected_point_concentric` | `seed[7]` |
| 112 | 54.546 us | `cargo-fuzz` | `sketch_projected_point_concentric` | `seed[8]` |
| 113 | 54.536 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[2]` |
| 114 | 54.526 us | `cargo-fuzz` | `sketch_projected_length_difference` | `seed[8]` |
| 115 | 54.526 us | `cargo-fuzz` | `sketch_projected_point_line_distance_range` | `seed[8]` |
| 116 | 54.526 us | `cargo-fuzz` | `sketch_projected_point_line_radius_equality` | `seed[22]` |
| 117 | 54.507 us | `cargo-fuzz` | `sketch_projected_equal_point_line_distances` | `seed[8]` |
| 118 | 54.506 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[136]` |
| 119 | 54.497 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[7]` |
| 120 | 54.487 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[20]` |
| 121 | 54.467 us | `cargo-fuzz` | `sketch_projected_line_symmetry` | `seed[7]` |
| 122 | 54.466 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_c2` | `seed[6]` |
| 123 | 54.457 us | `cargo-fuzz` | `sketch_projected_line_symmetry` | `seed[5]` |
| 124 | 54.456 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[19]` |
| 125 | 54.456 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_g2` | `seed[6]` |
| 126 | 54.456 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[9]` |
| 127 | 54.436 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[1]` |
| 128 | 54.426 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[19]` |
| 129 | 54.426 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[20]` |
| 130 | 54.406 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[54]` |
| 131 | 54.387 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[6]` |
| 132 | 54.346 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[1]` |
| 133 | 54.336 us | `cargo-fuzz` | `sketch_projected_line_arc_sweep_length` | `seed[7]` |
| 134 | 54.327 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[6]` |
| 135 | 54.296 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[127]` |
| 136 | 54.286 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[22]` |
| 137 | 54.277 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[9]` |
| 138 | 54.277 us | `cargo-fuzz` | `sketch_projected_length_point_line_distance` | `seed[22]` |
| 139 | 54.266 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[7]` |
| 140 | 54.246 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_c2` | `seed[23]` |
| 141 | 54.236 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[8]` |
| 142 | 54.206 us | `cargo-fuzz` | `sketch_projected_point_on_arc` | `seed[5]` |
| 143 | 54.196 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[11]` |
| 144 | 54.196 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[9]` |
| 145 | 54.176 us | `cargo-fuzz` | `sketch_projected_point_line_radius_equality` | `seed[17]` |
| 146 | 54.167 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[17]` |
| 147 | 54.167 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[5]` |
| 148 | 54.167 us | `cargo-fuzz` | `sketch_projected_line_radius_equality` | `seed[21]` |
| 149 | 54.166 us | `cargo-fuzz` | `sketch_projected_line_arc_sweep_length` | `seed[3]` |
| 150 | 54.156 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[7]` |
| 151 | 54.146 us | `cargo-fuzz` | `sketch_projected_equal_point_point_distances` | `seed[7]` |
| 152 | 54.137 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[20]` |
| 153 | 54.137 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[2]` |
| 154 | 54.126 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[6]` |
| 155 | 54.126 us | `cargo-fuzz` | `sketch_projected_line_circle_tangent` | `seed[7]` |
| 156 | 54.126 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[9]` |
| 157 | 54.116 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[1]` |
| 158 | 54.116 us | `cargo-fuzz` | `sketch_projected_line_symmetry` | `seed[140]` |
| 159 | 54.116 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[8]` |
| 160 | 54.116 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[18]` |
| 161 | 54.097 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[21]` |
